name_a,name_b
CDT, Central Daylight Time (UTC−5 hours)
ce, Chechen language (ISO 639-1 code)
Ce, Cerium
CE,"many, including Christian/Common Era (cf. AD); see entry"
CEA, Campaign Effectiveness Analysis
CECOM, U.S. Army Communications and Electronics Command
CEDEX," Courrier d'entreprise à distribution exceptionnelle (French, ""Company Mail with Exceptional Distribution""; ""exceptional"" refers to the volume of mail)"
CEGEP," Collège d'enseignement général et professionnel (French, ""College of General and Vocational Education"")"
CEI, Competitive Enterprise Institute
CENTCOM, United States Central Command
CENTO, Central Treaty Organization (Baghdad Pact)
CENZUB," Centre d'entraînement aux actions en zone urbaine (French, ""Urban Operations Training Centre"")"
CEO, Chief Executive Officer
CEP, Circular Error Probable
CEPT,"(a/i) Conférence européenne des administrations des postes et des télécommunications (French, ""European Conference of Postal and Telecommunications Administrations"")"
CERCLA," U.S. Comprehensive Environmental Response, Compensation, and Liability Act (Superfund)"
CERDEC,"U.S. Communications-Electronics Research, Development and Engineering Center"
CERGA," Centre de recherches en géodynamique et astrométrie (French, ""Astrometry and Geodynamics Research Centre"")"
CERN," Centre européen pour la recherche nucléaire (French, ""European Organization for Nuclear Research"")"
CERT, Computer Emergency Response Team
ces, Czech language (ISO 639-2 code)
CESS, Centre for Earth Science Studies (India)
CEWC,(a/i) Council for Education in World Citizenship
Cf, Californium
CFES, Continuous Flow Electrophoresis System
CFFZ, Call For Fire Zone
CFHT, Canada-France-Hawaii Telescope
CFI, Center for Inquiry (CSICOP)
CFLCC, Coalition Forces Land Component Command
CFM, Certified Facilities Manager [(IFMA)]http://www.ifma.org/
CFO, Chief Financial Officer
CFRP, Carbon fibre reinforced plastic
CFS, Chronic Fatigue Syndrome
CFSP, Common Foreign and Security Policy
CFU, Colony Forming Unit in Microbiology
CFV, Cavalry Fighting Vehicle
CFZ, Critical Friendly Zone
CG, Client Group - Computer Graphics - Controls Group -  Democratic Republic of the Congo (FIPS 10-4 country code) - Republic of the Congo (ISO 3166 digram)
CGDC, Computer Game Developers Conference (became GDC in 1998)
CGF, Computer-Generated Forces (Simulation)
CGH, Comparative Genomic Hybridisation
CGIG, Cross-Government Implementation Group
CGM, Computer Graphics Metafile
CGO," Republic of the Congo (IOC and FIFA trigram, but not ISO 3166)"
CGS, Chief of the General Staff
CGT, Capital Gains Tax
ch, Chamorro language (ISO 639-1 code)
ch,ch(L) is used to denote the Chern character of a line bundle
CH, Chieftain tank -  China (FIPS 10-4 country code) - Switzerland (ISO 3166 digram; from Latin Confoederatio Helvetica)
cha, Chamorro language (ISO 639-2 code)
CHAMPUS, (U.S.) Civilian Health and Medical Program of the Uniformed Services (now known as TRICARE)
CHAOS, Cambridge Heart Anti-Oxidant Study
CHAPS, Clearing House Automated Payment System
CHDK, Canon Hack Development Kit (Canon camera firmware hack)
che, Chechen language (ISO 639-2 code)
CHE, Switzerland (ISO 3166 trigram; from Latin Confoederatio Helvetica)
CHF, Swiss franc (ISO 4217 currency code)
CHI," Columbia Helicopters, Inc"
CHI, Computer-Human Interaction
CHiP, California Highway Patrol
CHIPS, Cosmic Hot Interstellar Plasma Spectrometer
CHL, Chile (ISO 3166 trigram)
CHLA, Core Historical Literature of Agriculture
CHN, China (ISO 3166 trigram)
CHOGM, Commonwealth Heads of Government Meeting
CHP, California Highway Patrol - Combined Heat and Power
CHPSO, California Hospital Patient Safety Organization
CHS, Combat Health Support
CHT, Certified Hand Therapist
chu, Old Church Slavonic language (ISO 639-2 code)
chv, Chuvash language (ISO 639-2 code)
CREN, Christian Real Estate Network Real Estate Association
Ci, Curie
CIB, Complete In Box (Internet auction/trading listings)
CIBC, Canadian Imperial Bank of Commerce
CICS," Customer Information Control System (IBM mainframe software; ""kicks"" or ""C-I-C-S"")"
CID,"Certified Interior Designer - A Certified Interior Designer (CID) licensed in New York (USA) plans, designs, supervises and/or consults on various aspects of interior spaces."
CIEF, Comité international d'enregistrement des fréquences (International Frequency Registration Board)
CIF," Cost, Insurance, and Freight (Paid) (shipping)"
CIMIC, Civil-Military Co-operation
CIMMYT,"(a/i) Centro Internacional de Mejoramiento de Maíz Y Trigo (Spanish, ""International Maize and Wheat Improvement Center"")"
CINC, Commander in Chief
CINEOS, Campo Imperatore Near-Earth Object Survey
CIP, Combat Identification Panel
CIPE, (European) Centre for International Political Economy
CIR, (Commander's) Critical Information Requirements
CIR, Corotating Interaction Region
CISA, (U.S.) C4I Integration Support Activity
CISB, Complete In Sealed Box (Internet auction/trading listings)
CISPR, Comité international spécial des perturbations radioélectriques (Special International Committee on Radio Interference)
CISSP, Certified Information Systems Security Professional
CITES," Convention on International Trade in Endangered Species (of Wild Fauna and Flora) (""sigh-tease"")"
CITS, Combat Identification Training System
CIV, Côte d'Ivoire (ISO 3166 trigram)
CIVETS," Colombia, Indonesia, Vietnam, Egypt, Turkey, South Africa (economics)"
CIVPOP, Civilian Population
CIWS, Close-In Weapon System
CHRS,Canadian Heart Rhythm Society
CJ, Cayman Islands (FIPS 10-4 country code) -  Criminal Justice
CJC, Canadian Jewish Congress - Cold Junction Compensation
CJD, Chronological Julian Day - Creutzfeldt-Jakob Disease
CJCS, Chairman of the Joint Chiefs of Staff
CJO, Chief of Joint Operations
CJTF, Combined Joint Task Force
CK, Cocos (Keeling) Islands (FIPS 10-4 country code) - Cook Islands (ISO 3166 digram)
CKA," commonly known as,  Canada Kicks Ass"
CKND,Codename: Kids Next Door
Cl, Chlorine
CL, Chile (ISO 3166 digram) -  Co-ordination Line - One Hundred and Fifty (in Roman numerals)
CLA, Clutterers Anonymous
CLEC, Competitive Local Exchange Carrier
CLEMARS, California Law Enforcement Mutual Aid Radio System
CLI, Command Line Interface/Interpreter
CLIC, Compact LInear Collider
CLO, Cornell Lab of Ornithology
CLOB, Character Large OBject
CLOS, Command to Line-Of-Sight (missile control system)
CLOS, Common Lisp Object System
CLP, Chilean peso (ISO 4217 currency code) -  Common [Operating/Operational] Land Picture
CLPFC, CentroLateral PreFrontal Cortex
CLRP, College Loan Repayment Program
Cm, Curium
CMB, Cosmic Microwave Background
CMBR, Cosmic Microwave Background Radiation
CME, Coronal Mass Ejection (usually Sun)
CMHC, Canada Mortgage and Housing Corporation
CMIIAW, Correct me if I am wrong
CMJ, Christopher Martin-Jenkins (BBC sports commentator)
CMLL," Consejo Mundial de Lucha Libre (Spanish, ""Worldwide Wrestling Council""—Mexican professional wrestling promotion)"
CMM, Capability Maturity Model
CMMC, Corps Materiel Management Centre
CMO, Civil-Military Operations
CMOC, Civil-Military Operations Centre
CMP, Common [Operating/Operational] Maritime Picture
CMP, Canadian Military Pattern truck (World War II)
CMPD, Chronic Myeloproliferative Disease
CMPD, Charlotte Mecklenburg Police Department
CMT, Country Music Television
CMYK, Cyan Magenta Yellow Key/blacK (colour model)
CNBC,(a/i) Consumer News and Business Channel
CNF, Cost and Freight
CNI," Communications, Navigation and Identification"
CNI, Clinical Nursing Intern
CNO, Computer Network Operations
CNV, Copy-Number Variable (genetics)
CNY, Chinese yuan renminbi (ISO 4217 currency code)
co, Corsican language (ISO 639-1 code)
Co, Cobalt
CO,"many, including Central Office (phone company); see entry -  Colorado (postal symbol) -  Commanding Officer (military)"
COA, Certificate/Concept Of Analysis - Course Of Action (military)
COB, Close Of Business [day]
COBRA,Consolidated Omnibus Budget Reconciliation Act of 1985
COCOM, Combatant Command (military)
COD, Cash On Delivery -  Democratic Republic of the Congo (ISO 3166 trigram)
CoDA, Co-Dependents Anonymous
codec, Coder-Decoder / Compressor-Decompressor / Compression-Decompression algorithm
COE, Cab Over Engine (see truck) - Common Operating Environment (military)
COEA, Cost Operational Effectiveness Analysis (military)
COEIA, Combined Operational Effectiveness and Investment Appraisal (military)
COFT, Conduct Of Fire Trainer (military)
COG, Centre Of Gravity - Current Operations Group (military) -  Republic of the Congo (ISO 3166 trigram)
COGENT, Cognitive Objects within a Graphical EnviroNmenT
COIL, Chemical Oxygen Iodine Laser
COIN, Counter-Insurgency (military)
COK, Cook Islands (ISO 3166 trigram)
COL, Colombia (ISO 3166 trigram)
COLA, comp.os.linux.announce - Cost Of Living Adjustment
COLT, Combat Observation and Lasing Team (military)
COM, Comoros (ISO 3166 trigram) -  Component Object Model
COMECON," Council for Mutual Economic Assistance (economic counterpart of the Warsaw Pact, 1949-1991)"
COMMZ, Communications Zone (military)
COMSEC, Communications Security (military)
CONAD, U.S. Continental Air Defense Command
CONCACAF," Confederation Of North, Central American and Caribbean Association Football"
CONMEBOL," Confederación Sudamericana de Fútbol or Confederação Sul-Americana de Futebol (respectively Spanish and Portuguese for ""South American Football Confederation"")"
CONOPS, Concept of Operations (military)
CONUS, Continental United States
COO, Chief Operating Officer
COP, Colombian peso (ISO 4217 currency code) -  Common Operating/Operational Picture
COPE, U.K. Committee On Publication Ethics
COPUS, U.K. Committee on the Public Understanding of Science
cor, Cornish language (ISO 639-2 code)
CORBA, Common Object Request Broker Architecture
CORD,(i/a) Common Operational Requirements Document
CORE, Consortium for Oceanographic Research and Education
CORG, (U.S.) Combat Operations Research Group
COROT," COnvection, ROtation and planetary Transits"
cos, Corsican language (ISO 639-2 code) - Cosine
COS, Cooper Ornithological Society
COSCOM, Corps Support Command (military)
COSER, COoperative SERvice
CoT, Car of Tomorrow (former NASCAR race car design)
COTS, Commercial Off The Shelf
Coy, Company (military unit)Cow
CP, Canadian Pacific - Check Point - Command Post - Club Penguin
CPA, Certified Public Accountant
CPAC," Conservative Political Action Conference - Cable Public Affairs Channel (""see-pack"")"
CPCU,Certified Property Casualty Underwriter
CPD, Capabilities Production Document
CPE, Certificate of Proficiency in English
CPE, Certified Professional Ergonomist
CPF, Calibration Parameter File - Canadian Patrol Frigate
CPG, Clinical Practice Guideline
CPI," CERDEC Command, Power and Integration"
CPIM, Certification on Production and Inventory Management
CPIR,Computationally-Private Information Retrieval
CPON, Certified Pediatric Oncology Nurse
CPPCC, Chinese People's Political Consultative Conference
CPR, Canadian Pacific Railway
CPR, Cardiopulmonary resuscitation
CPSM, Continuous Phase Shift Modulation
CPSU, Communist Party of the Soviet Union
CPT, Contingency Planning Team
CPU, Central Processing Unit - Contract Postal Unit
CPV, Cape Verde (ISO 3166 trigram)
CPX, Command Post eXercise
CQ, Carrier Qualification - Central Queensland - Charge of Quarters - Congressional Quarterly - Constellation Airlines (IATA airline designator) - Northern Mariana Islands (FIPS 10-4 territory code)
CQD," Close Quarters Drill (Morse distress code preceding SOS: CQ ""calling all stations"", D ""Distress""; often incorrectly interpreted as ""Come Quick, Distress"")"
cr, Cree language (ISO 639-1 code)
Cr, Chromium
CRAM, Combined Radiometric Correction Model
CRD, Capstone Requirements Document
cre, Cree language (ISO 639-2 code)
CREB, Cyclic AMP-response Element Binding (protein)
CREEP," Committee for the Re-Election of the President, a pejorative nickname used by opponents"
CRIPL, Consolidated Remain-In-Place List
CRM, Cardiac Rhythm Management - Customer Relationship Management
CRO," Croatia (IOC and FIFA trigram, but not ISO 3166)"
CRTC, Canadian Radio-television and Telecommunications Commission
cs, Czech language (ISO 639-1 code)
Cs, Caesium
"CSA- Canadian Soccer Association,Canadian Space Agency,Canadian Standards Association,Child Support Agency,Command Staff Advisor,Community-supported agriculture,Confederate States of America,Corps Storage Area, Czech Airlines,C/S/A"," CINC, Service, and Agency"
CSAR," Combat Search and Rescue (""seessar"")"
CSEAL,"(i/a) Combat Systems Engineering and Analysis Laboratory (""see-seal"")"
CSERIAC, (U.S. DoD) Crew Systems Ergonomics Information Analysis Center
CSG, Corps Support Group
CSI,see entry
CSICOP, Committee for the Scientific Investigation of Claims of the Paranormal (became the Committee for Skeptical Inquiry in 2006)
CSIP, Commercial Stable Image Platform (AMD)
CSK, Czechoslovakia (ISO 3166 trigram; obsolete since 1993)
CSL, U.K. Central Science Laboratory
CSPI, Center for Science in the Public Interest
CSR, Control Supply Rate
CSR, Corporate Social Responsibility [1]
CSRC, Conflict Studies Research Centre
CSRF, Cross-Site Request Forgery
CSSCS, Combat Service Support Control System
CST, Central Standard Time (UTC−6 hours)
CT, Computed tomography (medical scan also known as a CAT scan) - Central Time zone - Chrono Trigger (Computer/Video games) -  Connecticut (postal symbol) - Canterbury (postal symbol) - Chhattisgarh (Indian state code)
CTBT, Comprehensive [Nuclear] Test Ban Treaty
CTC, Closed Timelike Curve (relativity) - (U.S.) Combat Training Center
CTDB, Compact Terrain Data Base (file format)
CTGF, connective tissue growth factor
CTI, Co-operative Target Identification
CTIL, Critical Tracked Items List
CTIS, Central Tire Inflation System
CTMS, Clinical Trial Management System
CTO, Chief Technical Officer - Chief Technology Officer
CTS, Clear-To-Send - Collective Training Standards - Communications Technology Service - Contract Technical Services - Conversation Time Sharing - COSMIC Top Secret
